"ISBN","Title","Author","PublicationYear","Publisher","ImageURL","Description","Price","Rating"
"038078243X","Miss Zukas and the Raven's Dance","Jo Dereske","1996","Avon","http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg","A most unusual death has landed Helma Zukas right in the middle of another murder scene. Stanley Plummer had been cataloguing a collection of Native American books for Bellehaven's new Cultural Center when his body was found in the Center's ladies room - stabbed through the heart, and clutching a Barbie doll.","5.51","5"
"042518630X","Purity in Death","J.D. Robb","2002","Berkley Publishing Group","http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg","Louie Cogburn had spent three days holed up in his apartment, staring at his computer screen. His pounding headache was unbearable - it felt like spikes drilling into his brain. And it was getting worse. Finally, when someone knocked at his door, Louie picked up a baseball bat, opened up the door, and started swinging....","10.99","5"
"055321215X","Pride and Prejudice","Jane Austen","1983","Bantam","https://m.media-amazon.com/images/I/71Q1tPupKjL.jpg","Set in England in the early 19th century, Pride and Prejudice tells the story of Mr and Mrs Bennet's five unmarried daughters after the rich and eligible Mr Bingley and his status-conscious friend, Mr Darcy, have moved into their neighbourhood. While Bingley takes an immediate liking to the eldest Bennet daughter, Jane, Darcy has difficulty adapting to local society and repeatedly clashes with the second-eldest Bennet daughter, Elizabeth.","17.99","5"
"067176537X","The Therapeutic Touch ","Dolores Krieger","1979","Fireside","http://images.amazon.com/images/P/067176537X.01.LZZZZZZZ.jpg","Whether it be to relieve a headache, calm a muscle spasm, soothe a crying baby, or alleviate your own abdominal cramps. The Therapeutic Touch shows you how you can use your hands to help or to heal someone who is sick.","18.45","5"
"074322678X","Where You'll Find Me","Ann Beattie","2002","Scribner","http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg","Hailed by the Washington Post Book World as one of our era's most vital masters of the short form, Ann Beattie offers readers unforgettable glimpses of people coming to terms with the world around them.","68.99","4"
"080652121X","Hitler's Secret Bankers","Adam Lebor","2000","Citadel Press","http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg","No death certificates were issued at Auschwitz, but today Swiss bankers still demand them before they will release to relatives the assets of account holders killed in the Holocaust. Based on newly declassified documents and archival research, Hitler's Secret Banks reveals the full, hitherto unknown extent of Swiss economic collaboration with the Nazis.","57.21","4"
"1552041778","Jane Doe","R. J. Kaiser","1999","Mira Books","http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg","Jane’s days at a Midwest insurance company are perfectly ordinary. She blends in well, unremarkably pretty in her floral-print dresses and extra efficient at her low-level job. She’s just the kind of woman middle manager Steven Hepsworth likes—meek, insecure, and willing to defer to a man. No one has any idea who Jane really is. Least of all Steven.","18.28","4"
"1558746218","A Second Chicken Soup for the Woman's Soul","Jack Canfield","1998","Health Communications","http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg","This latest collection of stories celebrates the shared experiences of being a woman in a 101 new ways. You will be moved by these true accounts of how women like you have embraced life's defining moments by finding love, dealing with loss, overcoming obstacles and achieving their dreams and goals. Like spending time with a trusted friend, A Second Chicken Soup for the Woman's Soul will put difficult times into perspective, renew your faith in yourself and make you aware of the miracles in your own life.","34.99","4"
"1567407781","The Witchfinder ","Loren D. Estleman","1998","Brilliance Audio - Trade","http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg","In seventeenth-century England witchfinders were bearers of false witness - and were paid handsomely for their lies. In twentieth-century America the pickings are easier, and the pay has gone through the roof. Now, a world-renowned architect, a man thought to be dying in a Los Angeles hospital, has called Amos Walker to a hotel room at Detroit Metropolitan Airport, to find the person who engineered a heartbreaking lie - and cost the architect the one woman he truly loved.","25.25","4"
"1575663937","More Cunning Than Man","Robert Hendrickson","1999","Kensington Publishing Corp.","http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg","Filled with rat attack stories, strange tales of elderly women living with rats, and other interesting information, a fascinating foray into the world of the rat examines the way these creatures have survived through the ages despite many attempts to annihilate them.","128.45","4"
"1841721522","New Vegetarian","Celia Brooks Brown","2001","Ryland Peters &amp; Small Ltd","http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg","Here, innovative young chef Celia Brooks Brown gives meat-free cooking a new lease of life. From quick weekday lunches, snacks, and dinners to sophisticated dinner parties, you'll find a feast of delicious recipes for every occasion. Inspired by the great vegetarian cuisines of Asia and the Middle East, as well as the Mediterranean, ""New Vegetarian"" is bold, bright, and beautiful. ","12.55","4"
"1879384493","If I'd Known Then What I Know Now","J. R. Parrish","2003","Cypress House","http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg","If I'd Known Then What I Know Now is an inspiring, Pay It Forward-type manifesto for achieving success and happiness from childhood to retirement. Equally suitable for anyone from eight to eighty, it is actually a life guide or map that will help the reader traverse the roads of life, showing how to avoid the mindfields and grab the gold ring by making the best choices when facing life's most important decisions. ","17.57","4"
"1881320189","Goodbye to the Buttermilk Sky","Julia Oliver","1994","River City Pub","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328010518l/2438323.jpg","A beautifully narrated novel of time and place, Goodbye to the Buttermilk Sky re-creates a southern summer when the depression and the boll weevil turned hopes to dust. With the extraordinary talent to make the reader see the Ball canning jars on the kitchen table, hear the clicks on the party line, and feel the bittersweet moments of 20-year-old Callie Tatum's first experiences with adult desire, Oliver portrays a young wife’s increasingly dangerous infidelity with cinematic precision and palpable suspense.","18.39","4"
"195153448","Classical Mythology","Mark P. O. Morford","2002","Oxford University Press","http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg","Building on the bestselling tradition of previous editions, Classical Mythology, Tenth Edition, is the most comprehensive survey of classical mythology available--and the first full-color textbook of its kind. Featuring the authors' clear and extensive translations of original sources, it brings to life the myths and legends of Greece and Rome in a lucid and engaging style.","140.99","3"
"2005018","Clara Callan","Richard Bruce Wright","2001","HarperFlamingo Canada","http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg","Clara Callan is set in the middle of the Great Depression, chronicling the lives of two sisters.Clara is a spinsterish school teacher whose quiet life in a small Ontario town masks a passion for love and adventure.Nora, her flighty and very pretty sister, travels to New York where she lands a starring role in a radio soap opera.","39.96","3"
"345402871","Airframe","Michael Crichton","1997","Ballantine Books","http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg","The twin jet plane en route to Denver from Hong Kong is merely a green radar blip half an hour off the California coast when the call comes through to air traffic control","25.38","4"
"345417623","Timeline","MICHAEL CRICHTON","2000","Ballantine Books","http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg","In an Arizona desert, a man wanders in a daze, speaking words that make no sense. Within twenty-four hours he is dead, his body swiftly cremated by his only known associates. Halfway around the world, archaeologists make a shocking discovery at a medieval site.","29.35","4"
"374157065","Flu: The Story of the Great Influenza Pandemic of 1918","Gina Bari Kolata","1999","Farrar Straus Giroux","http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg","When we think of plagues, we think of AIDS, Ebola, anthrax spores, and, of course, the Black Death. But in 1918 the Great Flu Epidemic killed an estimated forty million people virtually overnight. If such a plague returned today, taking a comparable percentage of the US population with it, 1.5 million Americans would die.","25.45","3"
"375406328","Lying Awake","Mark Salzman","2000","Alfred A. Knopf","http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg","Sister John's cloistered life of peace and prayer has been electrified by ever more frequent visions of God's radiance, leading her toward a deep religious ecstasy. Her life and writings have become examples of devotion. Yet her visions are accompanied by shattering headaches that compel Sister John to seek medical help. ","36.67","4"
"375759778","Prague : A Novel","ARTHUR PHILLIPS","2003","Random House Trade Paperbacks","http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg","A novel of startling scope and ambition, Prague depicts an intentionally lost Lost Generation as it follows five American expats who come to Budapest in the early 1990s to seek their fortune. They harbor the vague suspicion that their counterparts in Prague have it better, but still they hope to find adventure, inspiration, a gold rush, or history in the making.","34.12","4"
"393045218","The Mummies of Urumchi","E. J. W. Barber","1999","W. W. Norton &amp; Company","http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg","Some of Ürümchi's mummies date back as far as 4,000 years—contemporary with the famous Egyptian mummies but even more beautifully preserved. Surprisingly, these prehistoric people are not Asian but Caucasoid—tall, large-nosed and blond with thick beards and round eyes.","25.99","3"
"399135782","The Kitchen God's Wife","Amy Tan","1991","Putnam Pub Group","https://m.media-amazon.com/images/I/71xzcf8mwtL.jpg","Winnie and Helen have kept each other's worst secrets for more than fifty years. Now, because she believes she is dying, Helen wants to expose everything. And Winnie angrily determines that she must be the one to tell her daughter, Pearl, about the past—including the terrible truth even Helen does not know.","23.76","3"
"425163091","Chocolate Jesus","Stephan Jaramillo","1998","Berkley Publishing Group","http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg","The author of ""Going Postal"" introduces his deliciously new novel that revolves around a self-proclaimed JFK assassination scholar who has just come up with the idea of a lifetime--Chocolate Jesus.","13.55","4"
"425176428","What If?: The World's Foremost Military Historians Imagine What Might Have Been","Robert Cowley","2000","Berkley Publishing Group","http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg","With its in-depth reflections on the monumental events of the past, this amazing book of essays ponders what might have been if things had gone differently in history.","17.79","3"
"425182908","Isle of Dogs","Patricia Cornwell","2002","Berkley Publishing Group","http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg","Chaos breaks loose when the governor of Virginia orders that speed traps be painted on all streets and highways, and warns that speeders will be caught by monitoring aircraft flying overhead. But the eccentric island of Tangier, fourteen miles off the coast of Virginia in Chesapeake Bay, responds by declaring war on its own state. ","43.33","5"
"439095026","Tell Me This Isn't Happening","Robynn Clairday","1999","Scholastic","http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg","In 1999, as the end of an old century loomed, five musicians entered a recording studio in Paris without a deadline. Their band was widely recognized as the best and most forward-thinking in rock, a rarefied status granting them the time, money, and space to make a masterpiece. But Radiohead didn't want to make another rock record. Instead, they set out to create the future.","10.26","4"
"440223571","This Year It Will Be Different","Maeve Binchy","1997","Dell","http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg","From the New York Times bestselling author of Circle of Friends, The Glass Lake, and Evening Class comes a stunning collection of fifteen Christmas stories filled with Maeve Binchy's trademark wit, charm, and sheer storytelling genius. In A Typical Irish Christmas, a grieving widower heads for a holiday in Ireland and finds an unexpected destination not just for himself, but for a father and daughter in crisis","23.99","5"
"440225701","The Street Lawyer","JOHN GRISHAM","1999","Dell","http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg","Michael was in a hurry. He was scrambling up the ladder at Drake & Sweeney, a giant D.C. law firm with eight hundred lawyers. The money was good and getting better; a partnership was three years away. He was a rising star with no time to waste, no time to stop, no time to toss a few coins into the cups of panhandlers. ","12.86","5"
"440234743","The Testament","John Grisham","1999","Dell","http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg","Because Troy Phelan’s new will names a sole surprise heir to his eleven-billion-dollar fortune: a mysterious woman named Rachel Lane, a missionary living deep in the jungles of Brazil.","21.78","4"
"446310786","To Kill a Mockingbird","Harper Lee","1988","Little Brown &amp; Company","http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg","Compassionate, dramatic, and deeply moving, ""To Kill A Mockingbird"" takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal.","12.86","4"
"449005615","Seabiscuit: An American Legend","LAURA HILLENBRAND","2002","Ballantine Books","http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg","Charles Howard was a onetime bicycle repairman who introduced the automobile to the western United States and became an overnight millionaire. When he needed a trainer for his new racehorses, he hired Tom Smith, a mysterious mustang breaker from the Colorado plains. Smith urged Howard to buy Seabiscuit for a bargain-basement price, then hired as his jockey Red Pollard, a failed boxer who was blind in one eye, half-crippled, and prone to quoting passages from Ralph Waldo Emerson. ","23.76","5"
"452264464","Beloved","Toni Morrison","1994","Plume","http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg","Shifting in time between the years preceding the Civil War and the years immediately following it. ""Beloved"" is the story of how an escaped slave tries to overcome the tragic death of her daughter. Morrison's lyrical narrative weaves together the supernatural and the tangible, and the result is a dazzling achievement and a spellbinding reading experience.","10.99","4"
"553582747","From the Corner of His Eye","Dean Koontz","2001","Bantam Books","http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg","Bartholomew Lampion is born on a day of tragedy and terror that will mark his family forever. All agree that his unusual eyes are the most beautiful they have ever seen. On this same day, a thousand miles away, a ruthless man learns that he has a mortal enemy named Bartholomew. He embarks on a relentless search to find this enemy, a search that will consume his life. ","21.58","5"
"553582909","Icebound","Dean R. Koontz","2000","Bantam Books","http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg","Conducting a strange and urgent experiment on the Arctic icefield, a team of scientists has planted sixty powerful explosive charges that will detonate at midnight. Before they can withdraw to the safety of their base camp, a shattering tidal wave breaks loose the ice on which they are working. Now they are hopelessly marooned on an iceberg during a violent winter storm. ","10.99","5"
"60168013","Pigs in Heaven","Barbara Kingsolver","1993","Harpercollins","https://m.media-amazon.com/images/I/61rlQWoEKZL.jpg","Six-year-old Turtle Greer witnesses a freak accident at the Hoover Dam during a tour of the Grand Canyon with her guardian, Taylor. Her insistence on what she has seen, and her mother's belief in her, lead to a man's dramatic rescue. ","20.79","5"
"60973129","Decision in Normandy","Carlo D'Este","1991","HarperPerennial","https://images-na.ssl-images-amazon.com/images/I/51VoOJu9RTL._SX350_BO1,204,203,200_.jpg","A splendid and unsparing review of the Normandy campaign from the planning stages to the break out at the Falaise Gap.","27.91","3"
"609804618","Our Dumb Century","The Onion","1999","Three Rivers Press","http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg","Witness the march of history as Editor-in-Chief Scott Dikkers and The Onion's award-winning writing staff present the twentieth century like you've never seen it before.","89.65","4"
"61076031","Mary-Kate &amp; Ashley Switching Goals","Mary-Kate  Ashley Olsen","2000","HarperEntertainment","http://images.amazon.com/images/P/0061076031.01.LZZZZZZZ.jpg","Emma Stanton is a boy magnet. Her twin sister, Sam, is an all-star athlete. So what do they do when Emma wants to get closer to her sports-crazed dad, and Sam wants to catch the attention of the cutest boy in school?","1.99","4"
"61099686","Downtown","Anne Rivers Siddons","1995","HarperTorch","http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg","After an airless childhood in Savannah, Smoky O'Donnell arrives in Atlanta, dazzled and chastened by this hectic young city on the rise. Her new job as a writer with the city's Downtown magazine introduces her to many unforgettable people and propels her into the center of momentous events that will irrevocably alter her heart, her career, and her world.","23.15","5"
"671870432","PLEADING GUILTY","Scott Turow","1993","Audioworks","http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg","Returning to the now-renowned locale of Kindle County, Scott Turow gives us Mack Malloy, ex-cop, not-quite-ex-drunk, and partner-on-the-wane in one of the country's most high-powered law firms. A longtime ally of the wayward, Mack is on the trail of a colleague, his firm's star litigator, who has vanished with more than five million dollars of a client's money. ","23.55","3"
"671888587","I'll Be Seeing You","Mary Higgins Clark","1994","Pocket","http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg","The murdered woman could have been her double. When reporter Meghan Collins sees the sheet-wrapped corpse in a New York City hospital, she feels as if she's staring into her own face. And Meghan has troubles enough already without this bizarre experience. Nine months ago, her much-loved father's car spun off a New York bridge. Now, investigators are saying that there's no trace of his car in the river, and they suspect he faked his own death.","8.99","5"
"679425608","Under the Black Flag","David Cordingly","1996","Random House","https://m.media-amazon.com/images/I/71gEhEFI90L.jpg","This rollicking account of the golden age of piracy is packed with vivid history and high seas adventure. David Cordingly, an acclaimed expert on pirates, reveals the spellbinding truth behind the legends of Blackbeard, Captain Kidd, Sir Francis Drake, the fierce female brigands Mary Read and Anne Bonny, and others who rode and robbed upon the world's most dangerous waters. ","23.76","3"
"684823802","Out of the Silent Planet","C.S. Lewis","1996","Scribner","http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg","The first book in C S Lewiss acclaimed Space Trilogy which continues with Perelandra and That Hideous Strength Out of the Silent Planet begins the adventures of the remarkable Dr Ransom Here that estimable man is abducted by a megalomaniacal physicist and his accomplice and taken via spaceship to the red planet of Malacandra The two men are in need of a human sacrifice and Dr Ransom would seem to fit the bill Once on the planet however Ransom eludes his captors risking his life and his chances of returning to Earth becoming a stranger in a land that is enchanting in its difference from Earth and instructive in its similarity First published in 1943 Out of the Silent Planet remains a mysterious and suspenseful tour de force","13.08","4"
"689821166","Flood : Mississippi 1927","Kathleen Duey","1998","Aladdin","http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg","For years, Garret and Molly have dreamed of seeing more of the world than cotton fields and the dusty poverty of their Mississippi Delta farms. They’ve been stashing away hard-earned pennies and nickels in a tin-can bank, hidden deep in the bayou. Now rising flood waters threaten the hiding place of their money, and they set out on their homemade raft to retrieve it.","10.99","4"
"771074670","Nights Below Station Street","David Adams Richards","1988","Emblem Editions","http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg","David Adams Richards’ Governor General’s Award-winning novel is a powerful tale of resignation and struggle, fierce loyalties and compassion. This book is the first in Richards’ acclaimed Miramichi trilogy. Set in a small mill town in northern New Brunswick, it draws us into the lives of a community of people who live there, including: Joe Walsh, isolated and strong in the face of a drinking problem; his wife, Rita, willing to believe the best about people; and their teenage daughter Adele, whose nature is rebellious and wise, and whose love for her father wars with her desire for independence. ","19.99","4"
"812523873","Proxies","Laura J. Mixon","1999","Tor Books","http://images.amazon.com/images/P/0812523873.01.LZZZZZZZ.jpg","A broad, fascinating SF novel of murder, intrigue, family loyalty, and humanity`s first steps to the stars, set in an immensely plausible near-future American Southwest scorched by global warming. Advanced biotech and brain-to-machine interfaces have melded in a secret project, creating full convincing human-shaped machines guided by faraway pilots; proxies. But who has the controls; and why?","6.53","5"
"842342702","Left Behind","Tim Lahaye","2000","Tyndale House Publishers","http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg","An airborne Boeing 747 is headed to London when, without any warning, passengers mysteriously disappear from their seats. Terror and chaos slowly spread not only through the plane, but also worldwide as unusual events continue to unfold. For those who have been left behind, the apocalypse has just begun.","54.32","5"
"887841740","The Middle Stories","Sheila Heti","2004","House of Anansi Press","http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg","A frog doles out sage advice to a plumber infatuated with a princess, a boy falls hopelessly in love with a monkey, and a man with a hat keeps apocalyptic thoughts at bay by resolving to follow a plan that he admits he won’t stick to.","14.95","4"
"971880107","Wild Animus","Rich Shapero","2004","Too Far","http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg","Quest with a young idealist for a bliss beyond fear in an unforgiving visionary wilderness, whose ruling deity portends sublime love or self-destruction.","18.79","4"
